time;y1;y2;y3;u1;v3;u2
58;0.2712482;0.09999504000000001;0.11182960000000003;0.00010128;0.5015967200000001;0.00005064
59;0.2759074;0.10198416000000002;0.11182960000000003;0.00010128;0.5008916800000001;0.00005064
60;0.2804002;0.10413904000000002;0.11446640000000002;0.00010128;0.5015967200000001;0.00005064
61;0.28456020000000004;0.10579664;0.11644400000000002;0.00010128;0.5015967200000001;0.00005064
62;0.2888866;0.10762000000000002;0.11941040000000003;0.00010128;0.5008916800000001;0.00005064
63;0.2933794;0.10894608;0.12138800000000002;0.00010128;0.5008916800000001;0.00005064
64;0.29803860000000004;0.10894608;0.12369520000000003;0.00010128;0.5015967200000001;0.00005064
65;0.30219860000000004;0.11076944;0.12600240000000001;0.00010128;0.5008916800000001;0.00005064
66;0.3068578;0.11209552;0.12847440000000002;0.00010128;0.5015967200000001;0.00005064
67;0.31060180000000004;0.11358736;0.13061680000000003;0.00010128;0.5015967200000001;0.00005064
68;0.31060180000000004;0.11524496000000001;0.13275920000000002;0.00010128;0.5008916800000001;0.00005064
69;0.31476180000000004;0.11690256000000002;0.13556080000000004;0.00010128;0.5008916800000001;0.00005064
70;0.31908820000000004;0.11806288000000001;0.13556080000000004;0.00010128;0.5008916800000001;0.00005064
71;0.3234146;0.11988624;0.13786800000000002;0.00010128;0.5015967200000001;0.00005064
72;0.32740820000000004;0.1217096;0.13951600000000003;0.00010128;0.5015967200000001;0.00005064
73;0.33156820000000004;0.12336720000000001;0.14215280000000002;0.00010128;0.5015967200000001;0.00005064
74;0.33589460000000004;0.12469328000000002;0.14478960000000002;0.00010128;0.5015967200000001;0.00005064
75;0.3397218;0.12469328000000002;0.14726160000000002;0.00010128;0.5015967200000001;0.00005064
76;0.34438100000000005;0.12635088;0.14923920000000002;0.00010128;0.5015967200000001;0.00005064
77;0.3487074;0.12784272000000002;0.15171120000000002;0.00010128;0.5008916800000001;0.00005064
78;0.3523682;0.12966608000000002;0.15368880000000001;0.00010128;0.5015967200000001;0.00005064
79;0.3523682;0.1308264;0.15616080000000002;0.00010128;0.50230176;0.00005064
80;0.35669460000000003;0.13264976;0.15830320000000003;0.00010128;0.5015967200000001;0.00005064
81;0.3605218;0.13430736000000001;0.15830320000000003;0.00010128;0.50230176;0.00005064
82;0.3648482;0.1357992;0.16094000000000003;0.00010128;0.5015967200000001;0.00005064
83;0.3690082;0.13745680000000002;0.16324720000000004;0.00010128;0.5015967200000001;0.00005064
84;0.37283540000000004;0.13944592;0.16522480000000003;0.00010128;0.50230176;0.00005064
85;0.3764962;0.14044048;0.16786160000000003;0.00010128;0.50230176;0.00005064
86;0.3806562;0.14044048;0.17016880000000004;0.00010128;0.5015967200000001;0.00005064
87;0.38464980000000004;0.14276112000000002;0.17280560000000003;0.00010128;0.5015967200000001;0.00005064
88;0.3886434;0.14392144;0.17478320000000003;0.00010128;0.5008916800000001;0.00005064
89;0.39213780000000004;0.14541328;0.17725520000000003;0.00010128;0.5015967200000001;0.00005064
90;0.39213780000000004;0.14723664;0.17906800000000003;0.00010128;0.50230176;0.00005064
91;0.3966306;0.14889424;0.18137520000000001;0;0.5015967200000001;0.00005064
92;0.400125;0.15055184000000002;0.18137520000000001;0;0.5015967200000001;0.00005064
93;0.3986274;0.15187792;0.18318800000000002;0;0.5008916800000001;0.00005064
94;0.39546580000000003;0.15353552;0.18566000000000002;0;0.5015967200000001;0.00005064
95;0.39213780000000004;0.15535888;0.18763760000000002;0;0.50230176;0.00005064
96;0.3889762;0.15635344;0.18978000000000003;0;0.50230176;0.00005064
97;0.38531540000000003;0.15635344;0.19192240000000002;0;0.5015967200000001;0.00005064
98;0.3821538;0.15834256000000002;0.19390000000000002;0;0.5008916800000001;0.00005064
99;0.3789922;0.15966864;0.19587760000000004;0;0.5015967200000001;0
100;0.37533140000000004;0.16132624;0.1978552;0;0.5015967200000001;0
101;0.37533140000000004;0.16000016;0.19983280000000003;0;0.5015967200000001;0
102;0.3723362;0.1581768;0.20148080000000002;0;0.5015967200000001;0
103;0.36934100000000003;0.15618768000000002;0.20148080000000002;0;0.50230176;0
104;0.36617940000000004;0.15436432;0.20296400000000003;0;0.5015967200000001;0
105;0.3633506;0.15270672000000002;0.20444720000000002;0;0.50230176;0
106;0.36018900000000004;0.15121488000000002;0.20609520000000003;0;0.5008916800000001;0
107;0.3570274;0.14955728000000001;0.20741360000000003;0;0.5008916800000001;0
108;0.35503060000000003;0.14955728000000001;0.2085672;0;0.5008916800000001;0
109;0.35170260000000003;0.14773392000000002;0.20955600000000002;0;0.5015967200000001;0
110;0.3487074;0.14640784;0.21054480000000003;0;0.5008916800000001;0
111;0.3457122;0.14491600000000002;0.21136880000000002;0;0.5015967200000001;0
112;0.3457122;0.14342416000000002;0.21235760000000004;0;0.5015967200000001;0
113;0.3428834;0.14242960000000002;0.21285200000000004;0;0.5015967200000001;0
114;0.33988820000000003;0.14093776000000002;0.21285200000000004;0;0.5015967200000001;0
115;0.33739220000000003;0.13961168000000002;0.21384080000000003;0;0.5015967200000001;0
116;0.3345634;0.1382856;0.2143352;0;0.5008916800000001;0
117;0.331901;0.13729104;0.21499440000000003;0;0.5015967200000001;0
118;0.3295714;0.13629648;0.21548880000000004;0;0.5015967200000001;0
119;0.3270754;0.13629648;0.21581840000000002;0;0.5015967200000001;0
120;0.324413;0.13497040000000002;0.21598320000000004;0;0.5015967200000001;0
121;0.3217506;0.13381008;0.21631280000000003;0;0.5015967200000001;0
122;0.31975380000000003;0.13298128;0.21680720000000003;0;0.5015967200000001;0
123;0.31975380000000003;0.13182096000000001;0.21680720000000003;0;0.5008916800000001;0
124;0.3170914;0.13099216000000002;0.21697200000000003;0;0.50230176;0
125;0.3145954;0.12999760000000002;0.21697200000000003;0;0.5015967200000001;0
126;0.3120994;0.12900304;0.21730160000000004;0;0.5015967200000001;0
127;0.3100194;0.12834;0.21697200000000003;0;0.5015967200000001;0
128;0.3076898;0.12734544;0.21730160000000004;0;0.50230176;0
129;0.30552660000000004;0.1266824;0.21730160000000004;0;0.50230176;0
130;0.30303060000000004;0.1266824;0.21697200000000003;0;0.5008916800000001;0
131;0.3008674;0.12552208;0.21680720000000003;0;0.5015967200000001;0
132;0.29870420000000003;0.12469328000000002;0.21680720000000003;0;0.5015967200000001;0
133;0.2967074;0.12403024000000001;0.21631280000000003;0;0.5015967200000001;0
134;0.2967074;0.12336720000000001;0.21598320000000004;0;0.5015967200000001;0
135;0.2943778;0.12253840000000002;0.21581840000000002;0;0.5008916800000001;0
136;0.292381;0.12154384000000001;0.21581840000000002;0;0.50230176;0
137;0.2908834;0.12071504000000002;0.21548880000000004;0;0.5015967200000001;0
138;0.288221;0.12005200000000002;0.21499440000000003;0;0.5008916800000001;0
139;0.28622420000000004;0.11905744000000001;0.21466480000000002;0;0.5008916800000001;0
140;0.28439380000000003;0.11856016;0.21450000000000002;0;0.5008916800000001;0
141;0.2822306;0.11856016;0.21400560000000002;0;0.5015967200000001;0
142;0.2804002;0.11789712000000002;0.2135112;0;0.5015967200000001;0
143;0.2784034;0.11723408000000002;0.21285200000000004;0;0.5015967200000001;0
144;0.2764066;0.1167368;0.21252240000000003;0;0.5015967200000001;0
145;0.2764066;0.11574224;0.21186320000000003;0;0.5015967200000001;0
146;0.274909;0.11507920000000002;0.21153360000000004;0;0.5008916800000001;0
147;0.2729122;0.1142504;0.21153360000000004;0;0.5015967200000001;0
148;0.2705826;0.11358736;0.21087440000000002;0;0.5008916800000001;0
149;0.269085;0.11292432000000002;0.21054480000000003;0;0.5015967200000001;0
150;0.267421;0.11259280000000002;0.20972080000000004;0;0.50230176;0
151;0.2655906;0.11192976000000002;0.20889680000000002;0;0.50230176;0
152;0.2635938;0.11192976000000002;0.20840240000000004;0;0.5008916800000001;0
153;0.2620962;0.11126672000000001;0.20774320000000002;0;0.5015967200000001;0
154;0.2602658;0.11060368000000001;0.20708400000000002;0;0.50230176;0
155;0.258269;0.10977488000000002;0.20609520000000003;0;0.5015967200000001;0
156;0.258269;0.10911184000000002;0.20560080000000003;0;0.5015967200000001;0
157;0.256605;0.10878032000000001;0.20477680000000004;0;0.50230176;0
158;0.2547746;0.10795152;0.20477680000000004;0;0.5015967200000001;0
159;0.2536098;0.10728848000000002;0.20395280000000002;0;0.5015967200000001;0
160;0.2517794;0.1067912;0.20296400000000003;0;0.5008916800000001;0
