time;y1;y2;y3;x1;x2;x3;s1;s2;s3;u1;u2
323;0.3010338;0.50154864;0.30085520000000004;0.3011045576247597;-0.042426906072081515;0.11139762763346212;0.00005495567635925901;0.0001348070706169321;0.000088018215849524;0;0
324;0.30120020000000003;0.50154864;0.30085520000000004;0.30100517064401916;-0.04247762659229625;0.11127806207773934;0.000055154323476281765;0.00013526807022883275;0.000088210696241951;0;0
325;0.30120020000000003;0.5010513600000001;0.30085520000000004;0.30108274762758824;-0.04253242063281362;0.11115933831230354;0.00005356931135308829;0.00013571254157579348;0.00008840500262450766;0;0
326;0.30120020000000003;0.50071984;0.30085520000000004;0.30110775743902907;-0.04258428296239344;0.11104186578040408;0.0000538486509347927;0.0001362088712525157;0.00008860211491030493;0;0
327;0.3010338;0.50055408;0.30102;0.30113811294054627;-0.042636751527043014;0.11092602205169287;0.000053277651357919815;0.0001366762902448022;0.00008879480257886254;0;0
328;0.30120020000000003;0.5000568000000001;0.30085520000000004;0.3010149036082097;-0.042685723334361714;0.11081002888659432;0.000053740842460323207;0.00013714808942461707;0.00008899297601916083;0;0
329;0.30120020000000003;0.49989104000000006;0.30085520000000004;0.30109961824791903;-0.04273837148839764;0.11069508637251442;0.000053484887648742735;0.0001376333578601149;0.00008918794385427105;0;0
330;0.30120020000000003;0.49955952000000003;0.30085520000000004;0.3011187643175893;-0.042789219285952564;0.11058179119644472;0.00005346519060434709;0.0001381265384059126;0.00008938067833620176;0;0
331;0.30120020000000003;0.49955952000000003;0.30085520000000004;0.30112922166894024;-0.04284030836707901;0.11046828553258839;0.000053395907179357947;0.00013859610216588177;0.0000895811950947854;0;0
332;0.30120020000000003;0.499228;0.30085520000000004;0.30115145777657043;-0.04289022244630746;0.11035634684676617;0.00005417620440746421;0.00013910321651260644;0.00008978173431893727;0;0
333;0.30120020000000003;0.49856496000000006;0.30085520000000004;0.30112366164218446;-0.04293978079349772;0.11024537561845987;0.00005365345382732123;0.000139573787653352;0.00008997887497482703;0;0
334;0.30120020000000003;0.49823344;0.30085520000000004;0.3011190614815214;-0.042988644428191634;0.11013499202344026;0.000053733375425627294;0.0001400820600612245;0.00009017762632271334;0;0
335;0.3010338;0.49790192;0.30085520000000004;0.3011427388599478;-0.04303872597463645;0.11002538297728033;0.00005348342087050246;0.00014054593265689855;0.00009037715797495674;0;0
336;0.30120020000000003;0.4975704;0.30085520000000004;0.3010172299591508;-0.04308523714536486;0.10991599084337919;0.000053169275738589356;0.0001409974466281499;0.00009057571127006236;0;0
337;0.30120020000000003;0.4975704;0.30085520000000004;0.3011056777807285;-0.04313511103204676;0.10980665610490581;0.000053494380405312203;0.00014149847866617453;0.0000907754691443445;0;0
