time;y1;y2;y3;x1;x2;x3
48;0.15434875062959685;0.01622741358073674;0.017357794249092055;0.28959662776965245;0.014490253791596106;0.05534988381082848
49;0.15564957157750178;0.01622741358073674;0.017849996769920926;0.2949185317066756;0.014960936965720994;0.056925591999713344
50;0.157438200380871;0.01622741358073674;0.018342199290749796;0.3002321196021009;0.015443270999767689;0.05848252318846581
51;0.157438200380871;0.01655945496383558;0.01850626679769281;0.3055166637360861;0.01591326129870347;0.06004070779756504
52;0.1598772396581927;0.01655945496383558;0.018998469318521678;0.31075110076348805;0.01639688342254016;0.06160324301904046
53;0.1636170998834193;0.016725475655385;0.020146941867122372;0.31598881965268144;0.016880044367786437;0.06320178608013281
54;0.166056139160741;0.016725475655385;0.021131346908780168;0.3211989414406787;0.01735416833273885;0.0647851298541121
55;0.1671943574901578;0.01722353773003326;0.021295414415723125;0.326391033045324;0.01784417350744738;0.06638366361324612
56;0.16947079414899138;0.01722353773003326;0.02211575195043791;0.33155212917423443;0.018314560606442366;0.068007306581934
57;0.17190983342631305;0.01722353773003326;0.023100156992095704;0.33671042015237374;0.018821500945674436;0.06963018187715518
58;0.17418627008514664;0.01738955842158274;0.023428292005981618;0.3418536762107575;0.019319091229157287;0.07125278246927966
59;0.17532448841456347;0.017555579113132158;0.024248629540696398;0.3469726823999977;0.019823868598732145;0.07288621685726585
60;0.17760092507339703;0.017555579113132158;0.024740832061525265;0.35207645271848076;0.020321944969622398;0.07451333796408238
61;0.17873914340281383;0.01772159980468158;0.026053372117068974;0.35718309413565064;0.020818097006776;0.07616509542699586
62;0.17955215649525438;0.01805364118778042;0.02539710208929715;0.36224477904576013;0.021328380706031238;0.07779736247567849
63;0.18085297744315929;0.01805364118778042;0.0267096421448408;0.36729389864051537;0.0218310823822744;0.07945975048279377
64;0.18459283766838588;0.01821966187932984;0.027858114693441554;0.37231488939426316;0.02234287125493781;0.08110649218795486
65;0.18784489003814817;0.01821966187932984;0.028350317214270424;0.37733358132316197;0.022874281239455847;0.0827733159832919
66;0.19012132669698173;0.01855170326242868;0.030155059790643;0.3823256581472081;0.023397513313099756;0.0844430776898179
67;0.19337337906674398;0.0187177239539781;0.03064726231147187;0.38731210672009264;0.023903804431317077;0.0860935106084943
68;0.19548721310708947;0.0187177239539781;0.03163166735312967;0.3922713011205591;0.024425108265986924;0.08774645157476353
69;0.19695063667348248;0.01904976533707694;0.03261607239478741;0.3972488806228399;0.02492967443266835;0.08943685210857735
70;0.19776364976592303;0.01921578602862636;0.03261607239478741;0.40217887103991;0.02544373970264295;0.09112037474760852
71;0.19987748380626852;0.01938180672017584;0.03327234242255926;0.407092429722991;0.02597735038442739;0.09281315079929009
72;0.20231652308359022;0.01971384810327468;0.033928612450331117;0.4119957932437269;0.02652524925096639;0.09449771095627937
73;0.20410515188695944;0.01971384810327468;0.03474894998504589;0.41690040848404064;0.02707274794898957;0.09619326205548462
74;0.20638158854579305;0.01971384810327468;0.035077084998931835;0.4218063218132066;0.027628240590239928;0.09788661930815262
75;0.20865802520462662;0.02004588948637352;0.036881827575304414;0.4266677043310325;0.02816152839051653;0.09957538609881872
76;0.210609256626484;0.02037793086947236;0.03753809760307624;0.43153043624760823;0.02869609727516051;0.10128102153031897
77;0.21256048804834135;0.02037793086947236;0.038686570151676966;0.43638986262860335;0.02924233268869197;0.10298478158308198
78;0.21483692470717491;0.02054395156102178;0.03950690768639178;0.4412420164423357;0.029782536949877623;0.1046862040465696
79;0.2167881561290323;0.0207099722525712;0.04016317771416363;0.4460606069352342;0.03034298803098033;0.106394070348631
80;0.22004020849879452;0.02104201363567004;0.04098351524887841;0.45086794974601035;0.03089289242631683;0.10810406330793251
81;0.22215404253913998;0.02104201363567004;0.04213198779747916;0.45568464446313667;0.03145549995948098;0.10981002746727467
82;0.2244304791979736;0.02154007571031836;0.04262419031830803;0.46048403349703887;0.032025622749334126;0.1115150943530416
83;0.22638171061983092;0.02154007571031836;0.043936730373851714;0.46525749505763603;0.03258884116574769;0.1132323730667738
84;0.22833294204168827;0.02154007571031836;0.04442893289468061;0.4700329709382536;0.033149991686890465;0.11495548433428372
85;0.2291459551341289;0.02154007571031836;0.04492113541550948;0.47477593462657186;0.033701178791807854;0.1166723524950687
86;0.23060937870052187;0.02170609640186778;0.04492113541550948;0.4795222174375726;0.03429084695607117;0.11838814239529058
87;0.23158499441145056;0.02170609640186778;0.04590554045716725;0.484261866451046;0.034854246579054705;0.12009099964654303
