x1;x2;x3;dx1;dx2;dx3;y1;y2;y3;u1
0.300784774616203;0.0484875372087365;0.21853026563267;-0.00200978104259094;-0.000279156574691409;-0.000967565775778343;0.300784774616203;0.0484875372087365;0.21853026563267;0
0.294287939664334;0.0476085569027424;0.215673898420685;-0.00197748870503709;-0.000288668522385512;-0.00101012667173577;0.294287939664334;0.0476085569027424;0.215673898420685;0
0.288371346196245;0.0467619379060319;0.212489920602107;-0.0018522051398266;-0.000302403242350564;-0.0010341969025122;0.288371346196245;0.0467619379060319;0.212489920602107;0
0.283406393442372;0.0458456692595599;0.20933028849912;-0.0018288138787182;-0.000323620090039874;-0.0010324279721449;0.283406393442372;0.0458456692595599;0.20933028849912;0
0.277759235328728;0.0448341309848811;0.206406248689725;-0.00186543723813629;-0.000332694564750641;-0.00106038882188082;0.277759235328728;0.0448341309848811;0.206406248689725;0
0.271849062277423;0.0437721529137122;0.203103824506528;-0.00180223445131845;-0.000316760885808875;-0.00109547605614347;0.271849062277423;0.0437721529137122;0.203103824506528;0
0.26667115040701;0.0428966466661209;0.199688944246077;-0.00172023576753776;-0.000299721540581293;-0.00108881654960144;0.26667115040701;0.0428966466661209;0.199688944246077;0
0.26186103443573;0.0420166888770024;0.196513270017938;-0.00174038232794345;-0.000301924427920405;-0.00108385659643581;0.26186103443573;0.0420166888770024;0.196513270017938;0
0.256358164630621;0.0411255387884748;0.193370779376102;-0.00174617126238011;-0.000311944891256474;-0.00112073403565562;0.256358164630621;0.0411255387884748;0.193370779376102;0
0.250919054415383;0.0401143829860213;0.189818163228622;-0.00165232833991891;-0.000310722946614015;-0.00112905340243176;0.250919054415383;0.0401143829860213;0.189818163228622;0
0.246392180258463;0.0392326484604881;0.186348462312547;-0.00160009473672896;-0.000307557365662388;-0.00108330496787933;0.246392180258463;0.0392326484604881;0.186348462312547;0
0.241717405431775;0.0383237657890089;0.18332556543017;-0.00164644105675392;-0.000313034375204162;-0.00106871300904295;0.241717405431775;0.0383237657890089;0.18332556543017;0
0.236442737170761;0.0373397581325014;0.18016667504878;-0.00164017376528182;-0.000316310431116693;-0.00111205373761297;0.236442737170761;0.0373397581325014;0.18016667504878;0
0.231476165573755;0.0364142308762898;0.176648366719546;-0.00155958008157915;-0.00032356328620063;-0.00112436847170721;0.231476165573755;0.0364142308762898;0.176648366719546;0
0.227216427533726;0.0354642997321219;0.173171963641895;-0.00154156109583288;-0.000348202806836887;-0.00108540100727007;0.227216427533726;0.0354642997321219;0.173171963641895;0
0.222498082495609;0.0343787895725876;0.170208178464278;-0.0015642596717234;-0.000371122080005458;-0.00108298307046271;0.222498082495609;0.0343787895725876;0.170208178464278;0
0.217546598942148;0.0331780234243355;0.166879882976945;-0.00150734421461683;-0.000374039196223892;-0.00110593206144982;0.217546598942148;0.0331780234243355;0.166879882976945;0
0.213202292062581;0.0321180293901698;0.163363680851985;-0.00143184543394129;-0.00037622337692905;-0.00107942011116415;0.213202292062581;0.0321180293901698;0.163363680851985;0
0.209237266739659;0.0310023953506542;0.160315335543894;-0.00144792139360386;-0.000375604032778808;-0.00106231244621956;0.209237266739659;0.0310023953506542;0.160315335543894;0
0.204660072917032;0.0297185257031458;0.157256025534521;-0.00146391246010192;-0.000334617455206495;-0.00110744041636924;0.204660072917032;0.0297185257031458;0.157256025534521;0
0.200087153030124;0.0288626297702163;0.153697216460012;-0.00140587512410274;-0.000298876994756062;-0.00112297113919143;0.200087153030124;0.0288626297702163;0.153697216460012;0
0.196225082852686;0.028150389171523;0.15023175203196;-0.00138989925684645;-0.000332015409640605;-0.00107902010512242;0.196225082852686;0.028150389171523;0.15023175203196;0
0.192117472892473;0.0269876894057287;0.147278873641643;-0.00144951843388518;-0.000375783924777982;-0.00107819025502499;0.192117472892473;0.0269876894057287;0.147278873641643;0
0.187420976789052;0.0257462165217975;0.14404236095595;-0.00143544827387607;-0.000368446524754645;-0.00112348143244148;0.187420976789052;0.0257462165217975;0.14404236095595;0
0.183059938922829;0.0247101081614184;0.140368190002809;-0.00133350971040455;-0.000344426377578185;-0.00109301369381081;0.183059938922829;0.0247101081614184;0.140368190002809;0
