time;y1;y2;y3;u1;u2;x1;x2;x3
44;0.21317460000000002;0.007003680000000012;0.050688800000000034;0.00010128;0;0.20586096781147742;0.006413964583095949;0.04778213593149846
45;0.2176674;0.007666720000000016;0.050688800000000034;0.00010128;0;0.20998538709961134;0.006719027488365691;0.04922750198417153
46;0.2176674;0.007832479999999975;0.05233680000000002;0.00010128;0;0.2140980414504247;0.007028125004417723;0.05067767752796999
47;0.22199380000000002;0.00832976000000002;0.05349040000000005;0.00010128;0;0.21806872466361796;0.007338829862414175;0.052131960254687366
48;0.22615380000000002;0.008827040000000008;0.05546800000000002;0.00010128;0;0.22203568088271503;0.007652885808427786;0.05358962753557207
49;0.2309794;0.008992800000000023;0.05728080000000002;0.00010128;0;0.22599533225759397;0.007970268662191202;0.05505083492967241
50;0.23497300000000002;0.009158559999999982;0.05876400000000004;0.00010128;0;0.2299662370044761;0.00829107228235259;0.05651543431685488
51;0.23963220000000002;0.009158559999999982;0.0602472;0.00010128;0;0.23392866085215613;0.008616244796574402;0.05798363285915211
52;0.2436258;0.009821599999999986;0.061565600000000054;0.00010128;0;0.2379006485612778;0.008944457698466326;0.05945438477410423
53;0.2477858;0.00998736;0.06321360000000004;0.00010128;0;0.2418586109228312;0.00927777831917049;0.06092840733153139
54;0.2517794;0.010318879999999975;0.06453200000000003;0.00010128;0;0.24580894073684537;0.009614762153465569;0.062404902605202116
55;0.2562722;0.010816160000000019;0.06634480000000004;0.00010128;0;0.24974427555159376;0.009954858692202483;0.06388384721899094
56;0.2604322;0.011147679999999993;0.0683224;0.00010128;0;0.253683494916747;0.010297616383943642;0.06536508236751551
57;0.2604322;0.011644959999999982;0.0683224;0.00010128;0;0.2576135383542097;0.010643568273818602;0.06684964364375841
58;0.2645922;0.012142240000000026;0.06997040000000002;0.00010128;0;0.26139514359241905;0.010991622480319959;0.06833487606974797
59;0.2687522;0.012307999999999986;0.07128880000000004;0.00010128;0;0.26517270161148454;0.011341498999636403;0.0698212072837909
60;0.2729122;0.012805279999999974;0.07310160000000002;0.00010128;0;0.2689443994194673;0.011692773689645386;0.07130820427137101
61;0.27690580000000004;0.013136800000000004;0.07442000000000004;0.00010128;0;0.27271335309318473;0.012046517175349693;0.07279605684157055
62;0.2808994;0.013634079999999993;0.07639760000000004;0.00010128;0;0.2764742653032627;0.012402971548416521;0.07428466887626599
63;0.284893;0.013634079999999993;0.07804560000000002;0.00010128;0;0.2802230053904793;0.012763508719238018;0.07577441074173862
64;0.289053;0.014131359999999982;0.07985840000000002;0.00010128;0;0.28396466144460714;0.013127904495255766;0.07726452305509367
65;0.2930466;0.014794399999999985;0.08101200000000003;0.00010128;0;0.2876983939839378;0.013498809831679537;0.07875500651384305
66;0.297373;0.015291679999999974;0.08282480000000003;0.00010128;0;0.29142314457803564;0.01387690954904978;0.08024595020330179
67;0.30120020000000003;0.01578896000000002;0.08282480000000003;0.00010128;0;0.295150028453441;0.014262887956856075;0.08173701503431445
68;0.3050274;0.016120479999999993;0.08447280000000001;0.00010128;0;0.2988588982081267;0.014655907117998185;0.0832273870771349
69;0.3050274;0.016783519999999996;0.08579120000000004;0.00010128;0;0.3025505224219528;0.015056300214267283;0.08471824504009748
70;0.30885460000000003;0.017115040000000026;0.08743920000000002;0.00010128;0;0.3061052645802785;0.0154645576655409;0.08620838099906716
71;0.312765;0.017612320000000015;0.08892240000000004;0.00010128;0;0.3096491539952939;0.0158790127160612;0.08769812850233788
72;0.316925;0.018109600000000003;0.09040560000000003;0.00010128;0;0.31318468944918304;0.016299627534333238;0.08918671496943746
73;0.32058580000000003;0.018772640000000007;0.09205360000000004;0.00010128;0;0.31672231531628453;0.016726699024716657;0.09067404115367199
74;0.32408020000000004;0.018772640000000007;0.09386640000000002;0.00010128;0;0.3202455877610849;0.017160319623871077;0.09216040423983428
75;0.3284066;0.01910415999999998;0.09567920000000002;0.00010128;0;0.3237487641658499;0.017600218408614792;0.09364571196311941
76;0.3317346;0.019767199999999985;0.09716240000000004;0.00010128;0;0.32725770400396487;0.01804810058238223;0.09513002575996064
77;0.33589460000000004;0.020098720000000014;0.09864560000000003;0.00010128;0;0.3307402304957637;0.018504349599975458;0.0966131495328133
78;0.3397218;0.020596000000000003;0.10029360000000004;0.00010128;0;0.33422933606638705;0.0189700013999049;0.09809464096683487
79;0.3397218;0.02159055999999998;0.10029360000000004;0.00010128;0;0.3377089963198868;0.019443518802089877;0.0995752411262099
80;0.343549;0.021756319999999996;0.10194160000000002;0.00010128;0;0.34106660079505197;0.019925950045053;0.1010536453742171
