time;y1;y2;y3;u1;u2
43;0.21483860000000002;0.06402511999999999;0.07425520000000002;0.00010128;0.00005064
44;0.219165;0.06568272000000003;0.07425520000000002;0.00010128;0.00005064
45;0.219165;0.06734032000000001;0.07689200000000002;0.00010128;0.00005064
46;0.2239906;0.06850064;0.07903440000000003;0.00010128;0.00005064
47;0.22864980000000001;0.06999248000000002;0.08150640000000003;0.00010128;0.00005064
48;0.23314260000000003;0.07148431999999999;0.08315440000000002;0.00010128;0.00005064
49;0.2376354;0.07314192000000003;0.08546160000000003;0.00010128;0.00005064
50;0.24229460000000003;0.07314192000000003;0.08743920000000002;0.00010128;0.00005064
51;0.24678740000000002;0.07463376;0.08925200000000003;0.00010128;0.00005064
52;0.25094740000000004;0.07595984;0.09139440000000001;0.00010128;0.00005064
53;0.2556066;0.07745168;0.09403120000000004;0.00010128;0.00005064
54;0.2597666;0.07894352000000002;0.09633840000000002;0.00010128;0.00005064
55;0.26442580000000004;0.0802696;0.09633840000000002;0.00010128;0.00005064
56;0.26442580000000004;0.08093264;0.09815120000000002;0.00010128;0.00005064
57;0.2687522;0.0819272;0.10062320000000002;0.00010128;0.00005064
58;0.273245;0.08259024000000001;0.10293040000000003;0.00010128;0.00005064
59;0.2772386;0.08308752;0.10424880000000003;0.00010128;0.00005064
60;0.2820642;0.08408208;0.10672080000000003;0.00010128;0.00005064
61;0.28622420000000004;0.08408208;0.10869840000000003;0.00010128;0.00005064
62;0.2908834;0.08491088;0.11067600000000002;0.00010128;0.00005064
63;0.2950434;0.08557392;0.11281840000000001;0.00010128;0.00005064
64;0.2992034;0.08656848;0.11479600000000004;0.00010128;0.00005064
65;0.30286420000000003;0.08739728;0.11677360000000003;0.00010128;0.00005064
66;0.3076898;0.08822608000000001;0.11677360000000003;0.00010128;0.00005064
67;0.3076898;0.08888912000000002;0.11891600000000002;0.00010128;0.00005064
68;0.311933;0.08971792;0.12072880000000002;0.00010128;0.00005064
69;0.3157602;0.09071248000000001;0.12270640000000002;0.00010128;0.00005064
70;0.31992020000000004;0.09120976;0.12484880000000004;0.00010128;0.00005064
