time;y1;y2;y3;x1;x2;x3;s1;s2;s3;u1
62;0.08704340000000002;0.0038542400000000088;0.023661600000000005;0.0855386221729581;-0.000239430846137224;0.004266048241489389;0.000014267173204216807;0.000015919294621679837;0.000015062982379683766;0.00005064
63;0.08904020000000001;0.0038542400000000088;0.024650400000000017;0.08732557855036724;-0.00023923444321788165;0.004422279310304951;0.000014267386338978855;0.000016213309777789993;0.000015569344008549738;0.00005064
64;0.09070420000000001;0.0040200000000000236;0.024980000000000002;0.08914645661456239;-0.00023916348012753734;0.004579187742351123;0.000014280337918695056;0.000016506023203826963;0.00001607616956805965;0.00005064
65;0.092701;0.0040200000000000236;0.02563920000000003;0.08914645661456239;-0.00023916348012753734;0.004579187742351123;0.000014280337918695056;0.000016506023203826963;0.00001607616956805965;0.00005064
66;0.09453140000000002;0.004185759999999983;0.02646320000000002;0.09096303985154384;-0.00023909438081797858;0.004736407259348514;0.000014286630170831572;0.000016797695488452757;0.00001658329414774846;0.00005064
67;0.0963618;0.0040200000000000236;0.027122400000000046;0.09277711616826433;-0.00023903278962973174;0.004893905375374243;0.000014287086219965704;0.00001708854448209147;0.000017090178212657204;0.00005064
68;0.09785940000000001;0.004185759999999983;0.027781600000000017;0.09491620786798233;-0.00024003339865360515;0.005057241031256247;0.000014286103600948761;0.000017378716984077576;0.00001759679024941444;0.00005064
69;0.10035540000000001;0.004185759999999983;0.02877040000000003;0.09695681610910242;-0.00024043934534081934;0.005220139498351157;0.000014299084249467808;0.00001766841902282452;0.00001810263833925263;0.00005064
70;0.10218580000000002;0.004185759999999983;0.029429600000000056;0.09906967364193056;-0.0002415262759704402;0.005385403875145024;0.00001429961723118963;0.000017957696680846142;0.00001860783417416962;0.00005064
71;0.10384980000000002;0.004683040000000027;0.029429600000000056;0.10111286670633092;-0.00024218642795940658;0.005549634378129949;0.000014305155975547683;0.000018246724896063837;0.000019112384851092498;0.00005064
72;0.10384980000000002;0.004683040000000027;0.030418400000000012;0.10307288024751125;-0.00024257658638323588;0.005713238404392378;0.000014312691142649535;0.00001853556793919431;0.0000196151223531267;0.00005064
73;0.10617940000000001;0.004683040000000027;0.030912800000000018;0.1046901539509731;-0.0002414721927453503;0.005868317809776222;0.000014327948431378454;0.000018824215489369666;0.000020116552206066757;0.00005064
74;0.10751060000000001;0.004683040000000027;0.031572000000000044;0.10646970226184607;-0.00024135800992868575;0.0060280344848850686;0.000014339170160074476;0.000019112907109071593;0.000020615455433029758;0.00005064
75;0.10917460000000001;0.0048487999999999865;0.03206640000000005;0.10813105831275667;-0.00024103805721240444;0.006184206641932986;0.000014342305741521304;0.000019401663781766558;0.000021111883445018405;0.00005064
76;0.1115042;0.0048487999999999865;0.03305520000000001;0.10979264816017485;-0.00024055268035974697;0.006340511553099983;0.000014348082639985438;0.000019690440322066738;0.000021605423051345573;0.00005064
77;0.11300180000000001;0.005180320000000016;0.033879200000000054;0.11158045257355702;-0.00024051805409846383;0.006501869835140325;0.000014355604607143406;0.0000199791620716146;0.000022094936734072866;0.00005064
78;0.11466580000000001;0.005346079999999975;0.034538400000000025;0.11328262591213588;-0.00023981603669581255;0.006659922591601368;0.000014362638174211493;0.000020268085654469557;0.000022580079108285925;0.00005064
79;0.11649620000000002;0.005677600000000005;0.035527200000000037;0.1149820840218046;-0.00023923364280372433;0.006818165995414023;0.000014369096893011202;0.000020557358073166515;0.000023060478562755385;0.00005064
80;0.11849300000000001;0.00584336000000002;0.03635120000000003;0.11671360877884161;-0.00023885337884253484;0.006978234775326444;0.000014376737823944671;0.000020846861166884798;0.000023533656493591195;0.00005064
81;0.12015700000000001;0.006009119999999979;0.036845600000000034;0.11848245721681144;-0.0002388380302355594;0.007141007860219592;0.000014380904562304962;0.000021136706836950257;0.000023999594854494372;0.00005064
82;0.12148820000000002;0.006009119999999979;0.036845600000000034;0.1202266500201615;-0.0002386076548467857;0.007302837175069813;0.000014400788274427231;0.00002142676404804995;0.000024455991934468516;0.00005064
83;0.12148820000000002;0.0063406400000000085;0.037669600000000025;0.12189455660546834;-0.0002376076191282231;0.007459633212699924;0.000014413372342395864;0.00002171726464026254;0.000024901456535526815;0.00005064
84;0.12348500000000001;0.0066721599999999825;0.03849360000000002;0.1232955168061314;-0.00023278193966297427;0.00759464015260854;0.000014436682395291153;0.000022007935314216385;0.000025333605171992426;0.00005064
85;0.125149;0.0066721599999999825;0.03898800000000002;0.12475498926139612;-0.00022831613482029938;0.007732408167535343;0.00001444597815266732;0.000022298833741483505;0.000025748834805924134;0.00005064
86;0.12697940000000002;0.006837919999999997;0.039976800000000035;0.12625123861114976;-0.00022432923310396796;0.0078719061029663;0.000014449904058706518;0.000022590006711791356;0.00002614446508935352;0.00005064
87;0.1283106;0.007003680000000012;0.040800800000000026;0.12782126141568087;-0.00022123554427718752;0.008017696760124985;0.000014449028110782592;0.000022881108877691937;0.000026515701983717343;0.00005064
88;0.13030740000000002;0.007169440000000027;0.04146000000000005;0.12933737947593257;-0.0002169428320445614;0.008156463436723434;0.000014470934313256223;0.000023172030766610066;0.000026861697739362092;0.00005064
89;0.1314722;0.007169440000000027;0.04261360000000003;0.1309396216398063;-0.00021399438277742316;0.008304872691911777;0.000014484251087686305;0.00002346205926352587;0.00002717142557992446;0.00005064
90;0.1329698;0.007335199999999986;0.04360240000000004;0.13245651332176456;-0.00020877718623071498;0.008439880562445353;0.000014510293634868163;0.000023751068232067427;0.000027439380388372855;0.00005064
91;0.13496660000000002;0.007666720000000016;0.04426160000000001;0.13397129642587008;-0.00020390466842536893;0.008572152462051726;0.000014531157702426534;0.0000240389608037931;0.00002765517653633208;0.00005064
92;0.13629780000000002;0.007832479999999975;0.04492080000000004;0.13554996943793735;-0.0001998589258162211;0.008714595742099924;0.00001455145182161832;0.000024323229034839553;0.00002781891970276501;0.00005064
93;0.1381282;0.00832976000000002;0.04492080000000004;0.13706953302505098;-0.00019321319273852964;0.008845740397320175;0.000014578542222792114;0.000024603247569889063;0.000027925392147402818;0.00005064
